,0,1,2,3
97,3.0,2.0,1.1,1.7
98,0.0,2.0,1.5,2.1
99,1.0,1.0,1.1,2.4
100,3.0,0.0,1.4,2.0
101,1.0,0.0,1.7,2.0
102,3.0,0.0,1.9,1.3
103,1.0,2.0,2.1,1.6
104,3.0,0.0,2.5,1.2
105,1.0,1.0,1.5,2.1
106,1.0,0.0,1.7,1.9
107,0.0,1.0,1.2,2.8
108,0.0,2.0,1.0,1.8
109,3.0,0.0,1.3,1.6
110,1.0,0.0,2.4,1.0
111,3.0,1.0,1.5,1.2
112,3.0,0.0,2.5,0.8
113,3.0,0.0,2.0,1.3
114,1.0,0.0,1.1,2.3
115,0.0,1.0,1.7,2.0
116,3.0,0.0,1.5,2.2
117,3.0,0.0,1.4,2.1
118,3.0,0.0,2.2,2.1
119,0.0,3.0,1.2,2.1
120,3.0,0.0,0.6,3.3
121,3.0,1.0,2.3,0.9
122,3.0,0.0,1.3,1.7
123,1.0,1.0,1.9,1.1
124,1.0,1.0,1.1,2.9
125,0.0,3.0,2.0,2.0
126,3.0,0.0,1.7,1.7
127,0.0,4.0,1.7,1.8
128,0.0,2.0,1.9,1.5
129,3.0,0.0,2.1,1.3
130,0.0,1.0,1.0,3.5
131,3.0,0.0,1.6,1.4
132,3.0,0.0,2.0,1.4
133,3.0,1.0,1.0,1.7
134,1.0,1.0,1.8,1.5
135,0.0,3.0,1.1,3.0
136,1.0,0.0,1.8,1.9
137,0.0,2.0,3.1,0.8
138,3.0,0.0,2.9,0.9
139,3.0,0.0,1.8,1.5
140,0.0,3.0,1.1,1.8
141,1.0,2.0,1.4,2.4
142,3.0,1.0,3.6,0.9
143,3.0,3.0,2.3,1.6
144,0.0,2.0,1.7,1.9
145,0.0,1.0,1.5,1.5
146,0.0,2.0,1.4,1.5
147,0.0,4.0,1.2,2.4
148,3.0,1.0,1.5,1.8
149,0.0,2.0,1.2,2.1
150,0.0,2.0,3.3,0.9
151,0.0,2.0,1.8,1.8
152,3.0,3.0,2.9,1.5
153,3.0,0.0,1.1,2.1
154,3.0,1.0,3.1,0.8
155,3.0,0.0,1.4,2.1
156,3.0,0.0,1.3,1.6
157,0.0,2.0,1.0,2.4
158,0.0,2.0,1.7,1.4
159,0.0,2.0,1.6,2.3
160,1.0,2.0,1.7,2.6
161,0.0,3.0,1.3,2.4
162,0.0,3.0,1.5,2.1
163,0.0,2.0,1.5,1.5
164,0.0,3.0,1.9,1.4
165,0.0,3.0,1.0,2.3
166,3.0,1.0,2.3,1.1
167,3.0,0.0,2.7,0.9
168,3.0,0.0,2.5,1.2
169,0.0,3.0,1.0,3.9
170,0.0,2.0,1.7,1.9
171,3.0,1.0,2.8,1.1
172,0.0,1.0,1.3,2.1
173,1.0,0.0,2.7,1.3
174,1.0,1.0,3.3,0.8
175,3.0,1.0,2.3,1.8
176,0.0,2.0,1.3,2.1
177,0.0,4.0,1.3,2.0
178,0.0,2.0,2.3,1.6
179,1.0,1.0,0.8,2.7
180,3.0,1.0,1.0,2.7
181,0.0,1.0,2.2,1.9
182,0.0,4.0,1.3,2.1
183,1.0,0.0,1.7,1.4
184,3.0,0.0,2.7,1.2
185,0.0,1.0,2.0,1.7
186,1.0,2.0,1.8,2.0
187,0.0,4.0,1.5,2.0
188,1.0,1.0,1.8,1.3
189,0.0,1.0,1.1,1.9
190,3.0,1.0,2.3,1.7
191,3.0,1.0,1.1,2.5
192,3.0,0.0,1.4,1.6
193,3.0,0.0,1.4,2.4
194,0.0,2.0,1.9,1.7
195,3.0,0.0,1.2,2.2
196,3.0,0.0,2.6,1.4
197,3.0,0.0,2.2,1.2
198,3.0,0.0,1.9,1.0
199,0.0,2.0,1.6,2.2
200,1.0,0.0,1.5,1.3
201,3.0,0.0,1.8,1.5
202,0.0,1.0,1.4,2.3
203,1.0,2.0,1.6,2.2
204,1.0,1.0,1.7,1.8
205,1.0,0.0,1.0,1.8
206,3.0,0.0,3.0,0.8
207,1.0,0.0,1.8,2.5
208,3.0,2.0,2.0,1.3
209,0.0,1.0,1.6,2.6
210,1.0,0.0,2.2,1.0
211,3.0,0.0,1.0,2.8
212,3.0,0.0,0.9,2.5
213,3.0,1.0,1.8,1.3
214,3.0,0.0,2.8,1.2
215,3.0,0.0,2.4,1.5
216,0.0,4.0,2.0,1.7
217,1.0,1.0,1.9,1.0
218,3.0,0.0,1.6,2.2
219,3.0,0.0,1.3,2.7
220,1.0,1.0,0.9,1.9
221,0.0,2.0,1.5,1.9
222,3.0,1.0,1.7,2.6
223,3.0,0.0,2.0,1.4
224,1.0,1.0,1.3,1.8
225,1.0,1.0,2.4,1.3
226,1.0,1.0,0.9,2.6
227,0.0,2.0,1.5,2.6
228,3.0,1.0,2.8,1.0
229,3.0,0.0,2.7,1.0
230,0.0,4.0,1.2,2.3
231,0.0,1.0,1.9,1.3
232,1.0,1.0,0.7,3.6
233,3.0,0.0,1.8,1.9
234,0.0,1.0,2.5,0.9
235,0.0,1.0,2.1,1.4
236,1.0,1.0,1.8,1.5
237,0.0,2.0,1.2,1.6
238,3.0,0.0,2.3,1.7
239,3.0,0.0,2.3,1.5
240,1.0,1.0,1.7,1.5
241,0.0,0.0,1.6,1.4
242,3.0,0.0,1.8,1.3
243,0.0,1.0,1.4,2.8
244,3.0,0.0,2.2,1.8
245,0.0,2.0,1.5,2.0
246,0.0,4.0,0.7,3.8
247,1.0,0.0,1.0,2.2
248,3.0,0.0,1.4,1.7
249,3.0,0.0,2.0,1.6
250,3.0,0.0,2.0,1.1
251,3.0,0.0,1.3,2.3
252,3.0,0.0,2.3,1.0
253,3.0,0.0,1.9,1.4
254,3.0,0.0,1.6,1.5
255,3.0,2.0,3.2,0.9
256,3.0,0.0,1.6,2.4
257,1.0,2.0,1.4,1.7
258,3.0,0.0,2.0,1.3
259,3.0,2.0,1.9,1.6
260,3.0,0.0,0.8,3.4
261,3.0,1.0,2.9,1.1
262,0.0,3.0,1.1,2.1
263,1.0,2.0,1.4,2.5
264,3.0,0.0,1.4,2.1
265,0.0,1.0,0.8,2.6
266,1.0,1.0,1.5,1.8
267,1.0,0.0,2.5,1.3
268,0.0,3.0,1.2,2.6
269,3.0,1.0,1.8,1.0
270,0.0,2.0,0.9,2.4
271,0.0,4.0,1.7,1.6
272,1.0,3.0,1.3,2.8
273,1.0,1.0,2.2,1.8
274,3.0,0.0,2.4,1.3
275,1.0,2.0,2.1,0.9
276,3.0,1.0,2.2,1.0
277,0.0,0.0,3.0,0.9
278,0.0,0.0,2.6,1.0
279,0.0,0.0,1.8,1.7
280,3.0,1.0,1.8,1.3
281,1.0,1.0,1.3,1.8
282,3.0,1.0,1.6,1.7
283,1.0,3.0,2.0,1.6
284,3.0,1.0,1.4,2.2
285,3.0,1.0,3.1,1.2
286,0.0,2.0,1.8,1.2
287,3.0,0.0,2.0,1.5
288,3.0,0.0,1.7,1.4
289,1.0,1.0,1.3,2.6
290,3.0,0.0,2.2,1.3
291,3.0,0.0,0.9,1.9
292,3.0,1.0,2.0,1.9
293,0.0,1.0,2.5,1.6
294,0.0,1.0,1.6,1.7
295,0.0,2.0,1.3,1.9
296,3.0,0.0,2.3,1.2
297,0.0,4.0,0.8,3.7
298,0.0,5.0,1.6,1.8
299,1.0,2.0,1.7,1.7
300,3.0,0.0,1.3,1.8
301,3.0,0.0,1.5,1.9
302,0.0,2.0,1.3,1.9
303,0.0,3.0,1.5,1.8
304,0.0,2.0,1.7,1.3
305,0.0,3.0,3.1,1.2
306,3.0,1.0,3.5,1.0
307,1.0,2.0,1.1,2.5
308,0.0,2.0,1.1,2.5
309,0.0,6.0,1.2,3.2
310,1.0,3.0,3.2,1.0
311,3.0,1.0,2.3,1.8
312,3.0,2.0,3.2,0.8
313,3.0,1.0,1.8,1.7
314,1.0,0.0,1.7,1.3
315,1.0,1.0,1.7,1.9
316,0.0,0.0,1.3,1.6
317,3.0,1.0,1.8,1.7
318,0.0,4.0,1.3,2.1
319,0.0,0.0,1.2,2.7
320,3.0,0.0,1.3,1.5
321,3.0,0.0,2.0,1.5
322,1.0,1.0,2.0,2.5
323,3.0,1.0,1.1,2.7
324,0.0,2.0,1.9,1.2
325,0.0,2.0,1.1,2.4
326,3.0,1.0,2.3,1.4
327,0.0,1.0,2.0,1.8
328,0.0,4.0,1.0,2.2
329,1.0,2.0,2.0,2.0
